"","Cond.","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","beta2.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","beta2.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","beta2.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","beta2.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","beta2.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","beta2.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","beta2.power","beta2.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"11","Cond11","0.45","1","0.6","0","5","120","1","CSMMA","0.3","0.3","0","0.1","-0.00927257421432073","-0.0116333048213931","0.000691990764527878","-5.31817842881905e-05","1.76284189093186e-05","-0.00301289915376039","-0.0154542903572012","-0.0193888413689886","0.000691990764527878","-5.31817842881905e-05","0.000176284189093157","-0.0301289915376039","0.05379531948658","0.0461291153797869","0.061641098427347","0.0657851256369588","0.0768668591592678","0.050912533594555","0.0490418151855641","0.0575936040915922","0.059573614456841","0.0648549817718857","-0.0535880429661571","0.0631423295633709","-0.0656622681785159","-0.0944212102656244","-0.156268611970909","0.926411290322581","0.956653225806452","0.936491935483871","0.930443548387097","0.940524193548387","1","0.991935483870968",NA,"1",NA,NA,"0.063508064516129","0.508064516129032",NA,"0.45866935483871",NA,NA,"0.0564516129032258","1","0.1984"
"12","Cond12","0.45","1","0.6","0.3","5","120","1","CSMMA","0.3","0.3","0.3","0.1","-0.00481496626411878","-0.00264826655965853","-0.00245124941987391","-0.00339951200865054","-0.00212249500382","0.00155245754275803","-0.00802494377353136","-0.00441377759943092","-0.00817083139957967","-0.0188861778258364","-0.0212249500382","0.0155245754275803","0.0558241238838981","0.0457916323989208","0.0546233498414931","0.0712979936699656","0.0631234492128121","0.0504549511832429","0.0459844025907737","0.0503028108811385","0.0604473016402209","0.0559186311833822","-0.0961801516459433","0.00420972526538332","-0.0790969241705613","-0.152187901387126","-0.114138535192204","0.93686165273909","0.93686165273909","0.921077065923863","0.94150417827298","0.935004642525534","0.994428969359331","0.990714948932219",NA,"1",NA,"0.991643454038997",NA,"0.469823584029712",NA,"0.569173630454967",NA,"0.981429897864438",NA,"1","0.2154"
"13","Cond13","0.9","1","0","0","5","120","1","CSMMA","0","0.3","0","0.1","0.00378933042586963","-0.0113994637767453","-0.00147055348327406","-0.000637162600893589","-0.00315913768529398","-0.000151270889941489","0.00378933042586963","-0.0189991062945755","-0.00147055348327406","-0.000637162600893589","-0.0315913768529398","-0.00151270889941491","0.0564103207002269","0.0431654098344701","0.0550234386512996","0.0680851761981627","0.073221785983748","0.0543570786294407","0.0455186812663755","0.0527673535696433","0.0647294851677207","0.0637621779503839","-0.0363983406812632","0.0545175278291049","-0.0410022553471043","-0.049286661470555","-0.12919116771426","0.937211449676824","0.945521698984303","0.938134810710988","0.94921514312096","0.945521698984303","1",NA,"0.0627885503231764","1",NA,NA,"0.061865189289012","0.426592797783933",NA,"0.475530932594645",NA,NA,"0","1","0.2166"
"14","Cond14","0.9","1","0","0.3","5","120","1","CSMMA","0","0.3","0.3","0.1","0.00719687661365018","-0.00532187990504975","-0.00535087618157742","0.0016599346663426","-0.00342619332527305","0.000271611787391972","0.00719687661365018","-0.00886979984174955","-0.0178362539385914","0.0016599346663426","-0.0342619332527305","0.00271611787391976","0.0559102888509557","0.0430870396446305","0.0528766938995532","0.0723797406071646","0.0688259802692208","0.0543071118828243","0.0446123458405029","0.0495746736373285","0.0650686946433336","0.0596529897694261","-0.0286740956106513","0.0354005800457086","-0.0624475552215391","-0.101009562931583","-0.133278021815504","0.94775435380385","0.954170485792851","0.931255728689276","0.943171402383135","0.93858845096242","1",NA,"0.0522456461961503","1",NA,"0.989000916590284",NA,"0.435380384967919",NA,"0.517873510540788",NA,NA,"0.0384967919340055","1","0.2182"
"15","Cond15","0.9","1","0.6","0","5","120","1","CSMMA","0.3","0.3","0","0.1","-0.00544725723009509","-0.011178849065024","0.000154008696126005","-0.000322976411828643","-0.000281460048746571","0.000759405713547367","-0.00907876205015849","-0.0186314151083733","0.000154008696126005","-0.000322976411828643","-0.00281460048746573","0.00759405713547365","0.0515518020367558","0.0466940020459593","0.0600339055403727","0.0628968818963299","0.0716364788363705","0.0507707022501752","0.0492844848744365","0.057619405436358","0.0597038583662762","0.0652498349876002","-0.0151517455398295","0.0554778497231276","-0.0402189409847903","-0.0507660067364961","-0.0891535144176818","0.937022900763359","0.946564885496183","0.928435114503817","0.943702290076336","0.945610687022901","1","0.993320610687023",NA,"1",NA,NA,"0.0715648854961832","0.509541984732824",NA,"0.458969465648855",NA,NA,"0.0534351145038168","1","0.2096"
"16","Cond16","0.9","1","0.6","0.3","5","120","1","CSMMA","0.3","0.3","0.3","0.1","-0.00785406078861711","-0.00948692357994714","-0.00171428481373309","-0.00349006561021423","-0.000933211248673489","-0.00183248573434931","-0.0130901013143618","-0.015811539299912","-0.00571428271244364","-0.019389253390079","-0.00933211248673488","-0.0183248573434931","0.0500468823786452","0.0442251979492765","0.0511422426128759","0.0687452998632603","0.0587318851001455","0.050345231455751","0.0459670709911826","0.0500818730968939","0.0617740918086832","0.0570586559959419","0.00596139185750851","0.0393864385616541","-0.020733731291538","-0.101406322591412","-0.0284892797387751","0.945045045045045","0.946846846846847","0.931531531531532","0.934234234234234","0.945045045045045","0.998198198198198","0.99009009009009",NA,"0.999099099099099",NA,"0.997297297297297",NA,"0.493693693693694",NA,"0.527027027027027",NA,"0.981081081081081",NA,"1","0.222"
"17","Cond17","0.45","1","0","0","10","80","1","CSMMA","0","0.3","0","0.1","-0.00161086872486187","-0.00723233677411353","0.000229061767110929","-1.45841018740642e-05","-0.000420434846827292","0.000588517615218118","-0.00161086872486187","-0.0120538946235225","0.000229061767110929","-1.45841018740642e-05","-0.00420434846827286","0.00588517615218123","0.0417991172415437","0.0356088003768488","0.0393261071543504","0.0444904492949324","0.0443430804702254","0.0417611759064672","0.0380631662827577","0.0410317456188638","0.0456296837894407","0.0452960112158489","-0.000907706611533942","0.0689258239517843","0.0433716578612521","0.0256062708415523","0.0214899536865346","0.94185260311021","0.952670723461798","0.949966193373901","0.959432048681542","0.950642325895876","1",NA,"0.0581473968897904","1",NA,NA,"0.0500338066260987","0.634888438133874",NA,"0.653820148749155",NA,NA,"0","1","0.2958"
"18","Cond18","0.45","1","0","0.3","10","80","1","CSMMA","0","0.3","0.3","0.1","-0.000245456449480175","-0.00327377384143239","-0.00249724571573874","-0.000349952013503748","0.000323684521829227","-0.00432381591155233","-0.000245456449480175","-0.00545628973572058","-0.00832415238579576","-0.000349952013503748","0.00323684521829223","-0.0432381591155233","0.0407502888563131","0.0344240410884604","0.0366410177598591","0.0468524731850279","0.0400873494424379","0.0417045562420933","0.0369462850306915","0.0376006520124422","0.045210091380188","0.0411448847684312","0.0234174385645458","0.0732698388242595","0.0261901636813817","-0.0350543246319949","0.0263807745012383","0.950870646766169","0.948383084577114","0.947761194029851","0.944651741293532","0.949626865671642","1",NA,"0.0491293532338308","1",NA,"1",NA,"0.641791044776119",NA,"0.665422885572139",NA,NA,"0.0422885572139304","1","0.3216"
"19","Cond19","0.45","1","0.6","0","10","80","1","CSMMA","0.3","0.3","0","0.1","-0.00599828068496252","-0.00810994466547317","0.00120426614245686","0.000565012988605363","-0.00130870079397102","0.0016077766638248","-0.00999713447493759","-0.0135165744424554","0.00120426614245686","0.000565012988605363","-0.0130870079397102","0.0160777666382479","0.037786023810203","0.0385513502877216","0.0438455965491211","0.0447011560680784","0.0438558345112161","0.038311418605262","0.0404623485483128","0.0434384072589187","0.0413940187808605","0.0446888309545044","0.0139044742494763","0.0495702030234667","-0.00928689132433684","-0.0739832607948948","0.0189939708723422","0.940688775510204","0.948979591836735","0.940688775510204","0.947704081632653","0.965561224489796","1","1",NA,"1",NA,NA,"0.0593112244897959","0.69515306122449",NA,"0.660714285714286",NA,NA,"0.0510204081632653","1","0.3136"
"20","Cond20","0.45","1","0.6","0.3","10","80","1","CSMMA","0.3","0.3","0.3","0.1","-0.0111589354806258","-0.00621099511939186","0.000796241602681997","-0.00284508428529827","-0.000663185373490763","-0.00184509495885261","-0.0185982258010431","-0.0103516585323197","0.00265413867560664","-0.0158060238072127","-0.00663185373490763","-0.0184509495885261","0.0378005229797056","0.0368111916829412","0.0396547567051867","0.0425351792149309","0.0390755663737198","0.0387930415908162","0.0376333595042823","0.0383703106277143","0.0424889656369769","0.0383786346680969","0.0262567428403942","0.0223347244072532","-0.032390718899669","-0.00108647897592104","-0.0178354857088286","0.951233505450373","0.947791164658635","0.93574297188755","0.946643717728055","0.942053930005737","0.99942627653471","0.99942627653471",NA,"1",NA,"1",NA,"0.660929432013769",NA,"0.732071141709696",NA,"0.99942627653471",NA,"1","0.3486"
