"","Cond.","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"59","Cond155","0.45","0","0.6","0","5","120","1.5","CSMMA","0.3","0.3","0","0.1","-0.00578472010021028","-0.00492791846219351","0.00333969518888371","0.00165525723979949","0.00162080614144276","-0.00964120016701708","-0.00821319743698923","0.00333969518888371","0.00165525723979949","0.0162080614144276","0.0426868029417483","0.0558502809615907","0.0485558511219542","0.0663478240343953","0.0443808110781108","0.0535714224029096","0.0515836536255044","0.0601778436556838","0.0396845867954592","-0.0408029918461522","0.0623571090525305","-0.0929944646792475","0.952602952602953","0.939393939393939","0.952602952602953","0.935508935508936","1","0.999222999222999",NA,"0.98989898989899",NA,NA,"0.0473970473970474","0.514374514374514",NA,NA,"0.0404040404040404","1","0.2574"
"60","Cond156","0.45","0","0.6","0.3","5","120","1.5","CSMMA","0.3","0.3","0.3","0.1","-0.00315568025492231","-0.00439727561408116","-0.00252889742772305","-0.00272958570387935","-0.00160736409138843","-0.00525946709153717","-0.00732879269013535","-0.00842965809241018","-0.0151643650215519","-0.0160736409138842","0.0431888075491145","0.0544162350285537","0.0465028776352049","0.0654534413888241","0.0449519297525459","0.0507946065111749","0.0468921219051236","0.0570746596546494","0.0408235907283717","-0.0665541913268804","0.00837032651983711","-0.128011324636101","0.946483180428135","0.928134556574923","0.931192660550459","0.936544342507645","0.998470948012232","1",NA,"0.992354740061162",NA,"1",NA,"0.536697247706422",NA,"1",NA,"1","0.2616"
"61","Cond157","0.9","0","0","0","5","120","1.5","CSMMA","0","0.3","0","0.1","-0.000176250378516693","-0.0130929543986815","0.000868965207410322","-0.000491093028786017","-0.000806236083638441","-0.000176250378516693","-0.0218215906644692","0.000868965207410322","-0.000491093028786017","-0.00806236083638445","0.0482585306656073","0.0540114910990046","0.0471028091623259","0.0670498720467885","0.0488561693804489","0.0507002715342461","0.0483639051947956","0.0601660290538119","0.0123841050814982","-0.06130583506182","0.026773265860296","-0.102667503797366","0.938809723386421","0.9279128248114","0.943000838222967","0.945515507124895","1",NA,"0.0611902766135792","0.985750209555742",NA,NA,"0.0569991617770327","0.497904442581727",NA,NA,"0.000838222967309304","1","0.2386"
"62","Cond158","0.9","0","0","0.3","5","120","1.5","CSMMA","0","0.3","0.3","0.1","0.00180364379884562","-0.00484737419159634","-0.000683401629058084","0.00031986214277146","-0.00363625055438912","0.00180364379884562","-0.00807895698599385","-0.0022780054301937","0.00031986214277146","-0.0363625055438911","0.0470435930788188","0.0516528155146806","0.042282959590935","0.0645113854619582","0.0483116572692011","0.0490012978491279","0.0447534943072344","0.057508928918999","0.0269550879810064","-0.0513334585759231","0.0584286138009374","-0.108546057301598","0.949329359165425","0.928464977645306","0.950819672131147","0.929210134128167","1",NA,"0.0506706408345753","0.98956780923994",NA,"1",NA,"0.494038748137109",NA,NA,"0.0417287630402385","1","0.2684"
"63","Cond159","0.9","0","0.6","0","5","120","1.5","CSMMA","0.3","0.3","0","0.1","-0.00845284591075231","-0.00799051725944082","0.00225938339494923","0.00125128506506037","0.000602211618804315","-0.0140880765179206","-0.0133175287657346","0.00225938339494923","0.00125128506506037","0.00602211618804319","0.0419135359455972","0.0547416631450871","0.0481674824725567","0.0690125704394416","0.0447569296190365","0.0528955704051639","0.0519472343147839","0.0600101549994977","0.067839508390079","-0.0337237240131042","0.0784710275107416","-0.130446024291234","0.94740796393689","0.930879038317055","0.944402704733283","0.943651389932382","0.999248685199098","1",NA,"0.992486851990984",NA,NA,"0.0555972952667168","0.516904583020286",NA,NA,"0.0458302028549962","1","0.2662"
"64","Cond160","0.9","0","0.6","0.3","5","120","1.5","CSMMA","0.3","0.3","0.3","0.1","-0.00940186417758112","-0.00358929258568924","-0.00163554262808302","-0.00392259652689919","3.71792878225604e-07","-0.0156697736293019","-0.00598215430948216","-0.00545180876027673","-0.0217922029272177","3.71792878220423e-06","0.0426785896642958","0.0535953981167098","0.0465198439079059","0.0643564772120293","0.0449435359617899","0.0501987909580255","0.0463433843913742","0.0556232187097741","0.0530698487300038","-0.0633749776666983","-0.00379320955764778","-0.1357013136919","0.950819672131147","0.93070044709389","0.935171385991058","0.956780923994039","0.998509687034277","1",NA,"0.98956780923994",NA,"0.999254843517139",NA,"0.556631892697466",NA,"0.999254843517139",NA,"1","0.2684"
"65","Cond161","0.45","0","0","0","10","80","1.5","CSMMA","0","0.3","0","0.1","-0.000903469076519056","-0.00847169254528277","0.000380061434034783","-0.000131856713010778","-0.00162926078563314","-0.000903469076519056","-0.0141194875754713","0.000380061434034783","-0.000131856713010778","-0.0162926078563315","0.0390497443425089","0.0386780923510993","0.037446738576513","0.0420457604385959","0.0405958535871714","0.0387816876804855","0.0399590065426541","0.042307937438768","0.0395933256592259","0.00267839810830912","0.0670890993886673","0.00623551571994996","0.953341013824885","0.942972350230415","0.95852534562212","0.953917050691244","1",NA,"0.0466589861751152","1",NA,NA,"0.0414746543778802","0.654377880184332",NA,NA,"0","1","0.3472"
"66","Cond162","0.45","0","0","0.3","10","80","1.5","CSMMA","0","0.3","0.3","0.1","0.000769602607306604","-0.0106872497296087","-0.00224230731683003","6.11549118618317e-05","-0.000718194824097722","0.000769602607306604","-0.0178120828826813","-0.00747435772276669","6.11549118618317e-05","-0.00718194824097726","0.0390958850582668","0.0367898044304166","0.0357001964059728","0.0398249634137995","0.0401422370131003","0.037711998403001","0.0366195858302947","0.0408121750486296","0.0267637362160766","0.0250665635999397","0.0257530634808514","0.0247887643881162","0.951181911613566","0.955806783144913","0.94655704008222","0.954779033915725","1",NA,"0.0488180883864337","1",NA,"1",NA,"0.690647482014389",NA,NA,"0.0405960945529291","1","0.3892"
"67","Cond163","0.45","0","0.6","0","10","80","1.5","CSMMA","0.3","0.3","0","0.1","-0.00905185941695228","-0.00593202098505115","0.000454966518754901","5.73814674376707e-06","-0.000131336161951477","-0.0150864323615872","-0.00988670164175198","0.000454966518754901","5.73814674376707e-06","-0.00131336161951476","0.0368217039336966","0.0407107148070201","0.0411822320501234","0.0431386605743545","0.03702600349427","0.0410074897997187","0.0424749678881618","0.0411670731993336","0.00554834618575249","0.00728984971414438","0.0313906209956029","-0.0457034907614411","0.947183098591549","0.94424882629108","0.943661971830986","0.94131455399061","1","1",NA,"1",NA,NA,"0.0563380281690141","0.700117370892019",NA,NA,"0.0492957746478873","1","0.3408"
"68","Cond164","0.45","0","0.6","0.3","10","80","1.5","CSMMA","0.3","0.3","0.3","0.1","-0.00804796860881153","-0.00366116112200079","-0.000518317101744633","-0.00271709571311465","-0.000898623874505979","-0.0134132810146859","-0.00610193520333461","-0.0017277236724822","-0.0150949761839703","-0.00898623874505983","0.0347193612952187","0.0382224029646151","0.0366260924783249","0.0376168386406156","0.0370290384692289","0.0383000381353429","0.0376468912059524","0.0375335649631935","0.066524183851512","0.00203114311781141","0.0278708062628176","-0.00221373407312847","0.959292983395822","0.944831280128548","0.950187466523835","0.954472415640064","0.999464381360471","1",NA,"1",NA,"1",NA,"0.767541510444563",NA,"1",NA,"1","0.3734"
