,Cond.,Rho12,a.p.cs,b.s,cp.p.cs,K,beta,postVar,Method,a.para,cp.para,b.para,beta.para,a.bias,cp.bias,b.bias,ab.bias,beta.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta.Ebias,a.empSE,cp.empSE,b.empSE,beta.empSE,a.meanSE,cp.meanSE,b.meanSE,beta.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta.power,beta.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
284,Cond92,0.9,0,0.3,0.6,30,0.1,1,2,-0.000364019,0.141394104,0.01551239,0.051252085,2.87E-05,-0.000827882,0.00042166,-5.52E-06,0.000234886,2.87E-05,-0.002927569,0.027182175,-5.52E-06,0.004582962,0.022106152,0.022603462,0.019983167,0.024145848,0.02265437,0.02275976,0.021580858,0.023455847,0.02479931,0.006914782,0.079951841,-0.028576382,0.948094079,0.946066504,0.96107056,0.944444444,1,NA,0.051905921,0.999594485,NA,0.094079481,NA,0.605028386,NA,NA,0.001216545,1,0.4932
285,Cond93,0.9,0.6,0,0,30,0.1,1,2,0.139341297,0.000354935,-0.000118793,0.045014054,0.002486691,-0.000618124,-2.36E-05,-1.60E-05,-0.000289964,0.008923024,-0.000618124,-2.36E-05,-1.60E-05,-0.006441627,0.021404416,0.023034857,0.020862948,0.023320509,0.02246121,0.023053214,0.021953165,0.023385181,0.049372706,0.000796915,0.052256124,0.002773163,0.9592257,0.943163097,0.961285008,0.948517298,1,1,NA,NA,0.056836903,NA,0.038714992,0.485584843,NA,NA,0.028418451,1,0.4856
286,Cond94,0.9,0.6,0,0.6,30,0.1,1,2,0.13862151,0.140319341,0.000394082,0.051510796,0.00230724,0.003215388,0.000352348,7.04E-05,-0.000919555,0.008322086,0.011457393,0.000352348,7.04E-05,-0.017851694,0.021943741,0.022577034,0.020494674,0.023692066,0.02241319,0.022909532,0.021805443,0.023136944,0.021393298,0.014727297,0.063956576,-0.023430727,0.950695825,0.954671968,0.95666004,0.945526839,1,1,NA,1,NA,NA,0.042942346,0.603180915,NA,NA,0.029821074,1,0.503
287,Cond95,0.9,0.6,0.3,0,30,0.1,1,2,0.139866409,0.039596391,0.014787514,0.046305557,0.00013869,6.81E-05,-5.34E-06,1.24E-07,-0.000839917,0.000495794,6.81E-05,-0.000360866,3.01E-05,-0.018138578,0.021975637,0.022196342,0.020636319,0.023295015,0.022501297,0.023063251,0.021898065,0.023410317,0.023920132,0.039056366,0.061142024,0.004949613,0.946688207,0.956785137,0.960420032,0.951938611,1,1,NA,NA,0.405896607,0.094103393,NA,0.508885299,NA,0.075928918,NA,1,0.4952
288,Cond96,0.9,0.6,0.3,0.6,30,0.1,1,2,0.139254698,0.187698436,0.015586652,0.055794892,0.000272304,0.000451811,0.00046686,0.000144596,0.000497332,0.00097772,0.001203555,0.02995253,0.033309186,0.008913568,0.02263259,0.023354878,0.02066735,0.023832709,0.022343763,0.022903782,0.021667521,0.0231511,-0.012761541,-0.019314835,0.048393779,-0.028599717,0.942667707,0.940327613,0.958658346,0.940717629,1,1,NA,1,NA,0.097893916,NA,0.668486739,NA,0.083853354,NA,1,0.5128
289,Cond97,0.45,0,0,0,5,0,1.5,2,-0.000324038,-9.83E-05,4.29E-05,-0.000700832,0.00266575,-0.00062001,0.00044543,-0.000266202,0.001776821,0.00266575,-0.00062001,0.00044543,-0.000266202,0.001776821,0.066438937,0.080598721,0.05249189,0.103916001,0.065534836,0.07182091,0.058133296,0.086886537,-0.013608007,-0.108907568,0.107471952,-0.163877212,0.920022689,0.914917754,0.967668746,0.904140669,1,NA,0.080544526,NA,0.085082246,NA,0.032331254,NA,0.095859331,NA,0,1,0.3526
290,Cond98,0.45,0,0,0.6,5,0,1.5,2,0.000290443,0.299933124,-5.09E-05,-0.000285962,0.005837544,-0.009954074,-0.000433175,-0.000420998,0.002317944,0.005837544,-0.016593822,-0.000433175,-0.000420998,0.002317944,0.067278217,0.077118231,0.051105926,0.102964769,0.065435886,0.067672589,0.056426508,0.080700247,-0.027383774,-0.122482612,0.104108904,-0.216234372,0.914747978,0.896079652,0.960174238,0.899813317,1,NA,0.085252022,0.955818295,NA,NA,0.04044804,NA,0.100186683,NA,0.000622278,1,0.3214
291,Cond99,0.45,0,0.3,0,5,0,1.5,2,0.000582903,-0.000806066,0.11056844,0.000626508,0.003874753,0.008467651,-0.003789725,0.000536335,-0.000709557,0.003874753,0.008467651,-0.034274924,0.000536335,-0.000709557,0.069242137,0.080948474,0.053692752,0.104011699,0.065607757,0.072807988,0.057274612,0.08756951,-0.052487975,-0.100563802,0.066710312,-0.158080187,0.912889935,0.895821071,0.949970571,0.906415539,1,NA,0.086521483,NA,0.103001766,0.474985285,NA,NA,0.093584461,NA,0.008828723,1,0.3398
292,Cond100,0.45,0,0.3,0.6,5,0,1.5,2,-0.000347509,0.300161598,0.110712353,-0.000262318,0.003836679,-0.009544228,-0.004057537,0.000101216,0.004939873,0.003836679,-0.015898483,-0.036649361,0.000101216,0.004939873,0.065869415,0.0765122,0.053594487,0.099380985,0.064760342,0.067697016,0.056347852,0.081468465,-0.016837452,-0.115212796,0.051374039,-0.180240925,0.924681344,0.896871379,0.940903824,0.912514484,1,NA,0.075318656,0.952491309,NA,0.476825029,NA,NA,0.086906141,NA,0.00811124,1,0.3452
293,Cond101,0.45,0.6,0,0,5,0,1.5,2,0.299601726,0.000235467,-0.000203601,0.000188187,-0.012691608,0.006061283,0.000314863,8.42E-05,-0.002744493,-0.021180799,0.006061283,0.000314863,8.42E-05,-0.002744493,0.064731392,0.083838391,0.056318241,0.100901454,0.062518169,0.075971236,0.06234181,0.083485247,-0.034190884,-0.093837143,0.106955907,-0.172606105,0.918086501,0.905635649,0.951507208,0.906946265,1,0.982961992,NA,NA,0.094364351,NA,0.048492792,NA,0.093053735,NA,0.020314548,1,0.3052
