"","Cond.","Rho","a.ps","b.s","K","postVar","missingRate","Method","a.para","cp.para","b.para","beta1.para","a.bias","cp.bias","b.bias","ab.bias","beta1.bias","a.Ebias","cp.Ebias","b.Ebias","ab.Ebias","beta1.Ebias","a.empSE","cp.empSE","b.empSE","beta1.empSE","a.meanSE","cp.meanSE","b.meanSE","beta1.meanSE","a.seRbias","cp.seRbias","b.seRbias","beta1.seRbias","a.CoverageRate","cp.CoverageRate","b.CoverageRate","beta1.CoverageRate","ab.CoverageRate","a.power","a.typeIerror","cp.power","cp.typeIerror","b.power","b.typeIerror","beta1.power","beta1.typeIerror","ab.power","ab.typeIerror","ConvergenceRate","posDefRate"
"89","Cond89","0.45","0","0","30","1.5","0.6","1","0","0.3","0","0.1","0.000386479375260831","-0.00220626029141552","-0.000345479559510958","-0.0020147564154353","-0.0008161061260874","0.000386479375260831","-0.00367710048569244","-0.000345479559510958","-0.0020147564154353","-0.00816106126087401","0.0882499339256059","0.0271912750716148","0.0885998625401119","0.0266292244732893","0.0837983984865247","0.0274324713307134","0.084498260562391","0.0260038145713382","-0.0504423656887257","0.00887035486432203","-0.0462935478693774","-0.0234858473846434","0.905035971223022","0.945803357314149","0.90167865707434","0.935251798561151","1",NA,"0.0949640287769784","1",NA,NA,"0.0983213429256595","0.948201438848921",NA,NA,"0.000959232613908873","1","0.417"
"90","Cond90","0.45","0","0.3","30","1.5","0.6","1","0","0.3","0.3","0.1","0.00470171982723126","-0.00649439890528474","-0.0019672893368543","-0.000559704880070531","-0.000782335087027087","0.00470171982723126","-0.0108239981754745","-0.00655763112284768","-0.000559704880070531","-0.00782335087027089","0.0841353929525073","0.0357554725298883","0.0817372309692361","0.0269818143664796","0.082655286110514","0.0357273931601343","0.0786411170717761","0.0259210669642427","-0.0175919644522109","-0.0007853167016741","-0.0378788694056108","-0.0393134200624652","0.912647861692448","0.943585077343039","0.915377616014559","0.940400363967243","1",NA,"0.0873521383075523","1",NA,"0.917197452229299",NA,"0.94540491355778",NA,NA,"0.0427661510464058","1","0.4396"
"91","Cond91","0.45","0.6","0","30","1.5","0.6","1","0.3","0.3","0","0.1","-0.00772670815780968","-0.00393000905490746","0.00111579978204546","-0.00175562616762066","0.000304202598505277","-0.0128778469296829","-0.00655001509151247","0.00111579978204546","-0.00175562616762066","0.00304202598505277","0.0822043235881774","0.0410013653451346","0.0946359295344315","0.0271485656590032","0.0785950738150536","0.0397366870510004","0.0914782866276355","0.0260330869725479","-0.0439058387148258","-0.0308447848867628","-0.0333662164289","-0.0410879418259569","0.904739776951673","0.947955390334573","0.914033457249071","0.930297397769517","1","0.911245353159851",NA,"1",NA,NA,"0.0859665427509294","0.949814126394052",NA,NA,"0.0455390334572491","1","0.4304"
"92","Cond92","0.45","0.6","0.3","30","1.5","0.6","1","0.3","0.3","0.3","0.1","-0.0052314132062102","-0.0027015961504931","-0.00243421004358053","-0.00412498291021816","-0.000750131158781914","-0.00871902201035039","-0.00450266025082191","-0.00811403347860173","-0.0229165717234342","-0.00750131158781919","0.0820780539178026","0.044901430065634","0.0892145643621977","0.0255243553554597","0.0780183947898904","0.0427288030996091","0.0817218330479449","0.0246835304460603","-0.0494609573952351","-0.0483865873057741","-0.0839855170264962","-0.0329420625002975","0.903812056737589","0.922429078014184","0.889627659574468","0.9375","0.992021276595745","0.918439716312057",NA,"0.998670212765957",NA,"0.886968085106383",NA,"0.964095744680851",NA,"0.763741134751773",NA,"1","0.4512"
"93","Cond93","0.9","0","0","30","1.5","0.6","1","0","0.3","0","0.1","0.000576644555136977","-0.00264708938207447","0.000185152236999071","-0.0023335960764063","-0.0010014170101595","0.000576644555136977","-0.00441181563679079","0.000185152236999071","-0.0023335960764063","-0.010014170101595","0.0869104332422012","0.0274079705213818","0.0845278112122315","0.0264363737256145","0.0850162299698518","0.0275452775905307","0.0852225686972577","0.0260184342510919","-0.0217948893094418","0.005009749592432","0.00821927688724586","-0.0158092588212146","0.914107485604607","0.942898272552783","0.917946257197697","0.944337811900192","1",NA,"0.0858925143953935","1",NA,NA,"0.0820537428023033","0.955374280230326",NA,NA,"0","1","0.4168"
"94","Cond94","0.9","0","0.3","30","1.5","0.6","1","0","0.3","0.3","0.1","0.00133586569359383","-0.00298406339485421","-0.000189048600955923","-0.0010493455303279","-0.000580174196951586","0.00133586569359383","-0.00497343899142374","-0.000630162003186404","-0.0010493455303279","-0.00580174196951583","0.0864241633825336","0.03738718490643","0.0857665257057709","0.0270450927899387","0.0822044005529753","0.0358353474656149","0.0786761555059993","0.0259484036288458","-0.0488261924027045","-0.0415072021255134","-0.0826706006967766","-0.0405503937298679","0.912112932604736","0.943533697632058","0.8816029143898","0.942167577413479","1",NA,"0.0878870673952641","1",NA,"0.910291438979964",NA,"0.952185792349727",NA,NA,"0.0500910746812386","1","0.4392"
"95","Cond95","0.9","0.6","0","30","1.5","0.6","1","0.3","0.3","0","0.1","-0.0110169349870423","-0.00515556736269046","0.00416639758865812","0.000213962966754455","-0.00127978747211424","-0.0183615583117373","-0.00859261227115068","0.00416639758865812","0.000213962966754455","-0.0127978747211424","0.0816017797100568","0.0400764773745402","0.0961076493702293","0.0262905771536559","0.0790345789624987","0.0395937405519826","0.0915310572005236","0.0258054013503019","-0.0314601073246166","-0.0120453905677936","-0.0476194371592162","-0.01845436106322","0.90371782650143","0.945662535748332","0.902764537654909","0.936606291706387","0.99904671115348","0.907530981887512",NA,"1",NA,NA,"0.0972354623450906","0.953765490943756",NA,NA,"0.051954242135367","1","0.4196"
"96","Cond96","0.9","0.6","0.3","30","1.5","0.6","1","0.3","0.3","0.3","0.1","-0.00638006902850464","-0.000291452718530929","-0.002446036539116","-0.00488777487218226","0.000447076603196447","-0.0106334483808411","-0.000485754530884878","-0.00815345513038672","-0.027154304845457","0.00447076603196442","0.0813447566052831","0.0430748096015982","0.0869896164352324","0.0255610354348432","0.0776043016573194","0.0427752878113252","0.0823229984816714","0.0247342397557513","-0.0459827419007957","-0.00695352557662477","-0.0536456895063505","-0.0323459384577526","0.912428129146395","0.931446262715613","0.89827509951349","0.935869084475896","0.99203892083149","0.927465723131358",NA,"1",NA,"0.883237505528527",NA,"0.967271118973905",NA,"0.768686421937196",NA,"1","0.4522"
"97","Cond1","0.45","0","0","5","1","0.4","2","-1.97014272714492e-05","0.313380923148663","0.000179370703929807","0.103272060931016","-0.0172279563379911","-0.00636233129331564","-0.000484098740842261","-0.00259481105472806","-0.00569233167626259","-0.0172279563379911","-0.0101511145435893","-0.000484098740842261","-0.00259481105472806","-0.055119764483687","0.0867056583416185","0.077554273251649","0.121781112389496","0.0952093035057969","0.0899045372412662","0.0716188814688632","0.116657052273509","0.0829509274302156","0.0368935425995413","-0.0765321049882905","-0.0420759838323604","-0.12875187218269","0.920634920634921","0.911816578483245","0.941798941798942","0.918871252204586","1",NA,"0.0793650793650794","0.964726631393298",NA,NA,"0.0582010582010582","0.328042328042328",NA,NA,"0","1","0.1134"
"98","Cond2","0.45","0","0.3","5","1","0.4","2","-0.000557940018724118","0.313874109912758","0.0821648423138905","0.103283335048112","-0.0143795004959915","-0.0126474426031694","0.0029875114192886","-0.00233509900740706","-0.00472011220013433","-0.0143795004959915","-0.0201473173538983","0.0363599726495616","-0.00233509900740706","-0.0457006176062729","0.0941892763364872","0.0778892727998936","0.116394283479597","0.103699946438226","0.088563739564458","0.0726744456806202","0.11586821189821","0.084266870805677","-0.0597258731655626","-0.0669518013433106","-0.00451973727283397","-0.18739716171527","0.906306306306306","0.924324324324324","0.92972972972973","0.92972972972973","1",NA,"0.0918918918918919","0.96036036036036",NA,"0.122522522522523",NA,"0.333333333333333",NA,NA,"0","1","0.111"
