"Cond#","Rho","HetInd","a.ps","b.s","K","Nbar","postVar","missingRate"
"Cond299","0.45","0","0.6","0","5","120","1","0.6"
"Cond300","0.45","0","0.6","0.3","5","120","1","0.6"
"Cond301","0.9","0","0","0","5","120","1","0.6"
"Cond302","0.9","0","0","0.3","5","120","1","0.6"
"Cond303","0.9","0","0.6","0","5","120","1","0.6"
"Cond304","0.9","0","0.6","0.3","5","120","1","0.6"
"Cond305","0.45","0","0","0","10","80","1","0.6"
"Cond306","0.45","0","0","0.3","10","80","1","0.6"
"Cond307","0.45","0","0.6","0","10","80","1","0.6"
"Cond308","0.45","0","0.6","0.3","10","80","1","0.6"
"Cond309","0.9","0","0","0","10","80","1","0.6"
"Cond310","0.9","0","0","0.3","10","80","1","0.6"
"Cond311","0.9","0","0.6","0","10","80","1","0.6"
"Cond312","0.9","0","0.6","0.3","10","80","1","0.6"
"Cond313","0.45","0","0","0","10","120","1","0.6"
"Cond314","0.45","0","0","0.3","10","120","1","0.6"
"Cond315","0.45","0","0.6","0","10","120","1","0.6"
"Cond316","0.45","0","0.6","0.3","10","120","1","0.6"
"Cond317","0.9","0","0","0","10","120","1","0.6"
"Cond318","0.9","0","0","0.3","10","120","1","0.6"
"Cond319","0.9","0","0.6","0","10","120","1","0.6"
"Cond320","0.9","0","0.6","0.3","10","120","1","0.6"
"Cond321","0.45","0","0","0","30","80","1","0.6"
"Cond322","0.45","0","0","0.3","30","80","1","0.6"
"Cond323","0.45","0","0.6","0","30","80","1","0.6"
"Cond324","0.45","0","0.6","0.3","30","80","1","0.6"
"Cond325","0.9","0","0","0","30","80","1","0.6"
"Cond326","0.9","0","0","0.3","30","80","1","0.6"
"Cond327","0.9","0","0.6","0","30","80","1","0.6"
"Cond328","0.9","0","0.6","0.3","30","80","1","0.6"
"Cond329","0.45","0","0","0","30","120","1","0.6"
"Cond330","0.45","0","0","0.3","30","120","1","0.6"
"Cond331","0.45","0","0.6","0","30","120","1","0.6"
"Cond332","0.45","0","0.6","0.3","30","120","1","0.6"
"Cond333","0.9","0","0","0","30","120","1","0.6"
"Cond334","0.9","0","0","0.3","30","120","1","0.6"
"Cond335","0.9","0","0.6","0","30","120","1","0.6"
"Cond336","0.9","0","0.6","0.3","30","120","1","0.6"
"Cond337","0.45","0","0","0","5","80","1.5","0.6"
"Cond338","0.45","0","0","0.3","5","80","1.5","0.6"
"Cond339","0.45","0","0.6","0","5","80","1.5","0.6"
"Cond340","0.45","0","0.6","0.3","5","80","1.5","0.6"
"Cond341","0.9","0","0","0","5","80","1.5","0.6"
"Cond342","0.9","0","0","0.3","5","80","1.5","0.6"
"Cond343","0.9","0","0.6","0","5","80","1.5","0.6"
"Cond344","0.9","0","0.6","0.3","5","80","1.5","0.6"
"Cond345","0.45","0","0","0","5","120","1.5","0.6"
"Cond346","0.45","0","0","0.3","5","120","1.5","0.6"
"Cond347","0.45","0","0.6","0","5","120","1.5","0.6"
"Cond348","0.45","0","0.6","0.3","5","120","1.5","0.6"
"Cond349","0.9","0","0","0","5","120","1.5","0.6"
"Cond350","0.9","0","0","0.3","5","120","1.5","0.6"
"Cond351","0.9","0","0.6","0","5","120","1.5","0.6"
"Cond352","0.9","0","0.6","0.3","5","120","1.5","0.6"
"Cond353","0.45","0","0","0","10","80","1.5","0.6"
"Cond354","0.45","0","0","0.3","10","80","1.5","0.6"
"Cond355","0.45","0","0.6","0","10","80","1.5","0.6"
"Cond356","0.45","0","0.6","0.3","10","80","1.5","0.6"
"Cond357","0.9","0","0","0","10","80","1.5","0.6"
"Cond358","0.9","0","0","0.3","10","80","1.5","0.6"
"Cond359","0.9","0","0.6","0","10","80","1.5","0.6"
"Cond360","0.9","0","0.6","0.3","10","80","1.5","0.6"
"Cond361","0.45","0","0","0","10","120","1.5","0.6"
"Cond362","0.45","0","0","0.3","10","120","1.5","0.6"
"Cond363","0.45","0","0.6","0","10","120","1.5","0.6"
"Cond364","0.45","0","0.6","0.3","10","120","1.5","0.6"
"Cond365","0.9","0","0","0","10","120","1.5","0.6"
"Cond366","0.9","0","0","0.3","10","120","1.5","0.6"
"Cond367","0.9","0","0.6","0","10","120","1.5","0.6"
"Cond368","0.9","0","0.6","0.3","10","120","1.5","0.6"
"Cond369","0.45","0","0","0","30","80","1.5","0.6"
"Cond370","0.45","0","0","0.3","30","80","1.5","0.6"
"Cond371","0.45","0","0.6","0","30","80","1.5","0.6"
"Cond372","0.45","0","0.6","0.3","30","80","1.5","0.6"
"Cond373","0.9","0","0","0","30","80","1.5","0.6"
"Cond374","0.9","0","0","0.3","30","80","1.5","0.6"
"Cond375","0.9","0","0.6","0","30","80","1.5","0.6"
"Cond376","0.9","0","0.6","0.3","30","80","1.5","0.6"
"Cond377","0.45","0","0","0","30","120","1.5","0.6"
"Cond378","0.45","0","0","0.3","30","120","1.5","0.6"
"Cond379","0.45","0","0.6","0","30","120","1.5","0.6"
"Cond380","0.45","0","0.6","0.3","30","120","1.5","0.6"
"Cond381","0.9","0","0","0","30","120","1.5","0.6"
"Cond382","0.9","0","0","0.3","30","120","1.5","0.6"
"Cond383","0.9","0","0.6","0","30","120","1.5","0.6"
"Cond384","0.9","0","0.6","0.3","30","120","1.5","0.6"
