,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,beta2.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,beta2.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,beta2.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,beta2.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,beta2.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,beta2.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,beta2.power,beta2.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
21,Cond21,0.9,1,0,0,10,80,1,0.4,CSMMA,0,0.3,0,0.1,0.007164864,-0.017310673,-0.00634789,-0.001404772,-0.001356592,0.027692085,0.007164864,-0.028851122,-0.00634789,-0.001404772,-0.013565916,0.276920855,0.063103278,0.03899614,0.292663309,0.076947944,0.344534096,0.057600924,0.042990927,0.151973453,0.066409947,0.21541891,-0.087196015,0.102440581,-0.480722565,-0.136949689,-0.374753,0.917293233,0.960526316,0.926691729,0.911654135,0.941729323,1,NA,NA,1,NA,NA,NA,0.37593985,NA,0.135338346,NA,NA,NA,1,0.1064
22,Cond22,0.9,1,0,0.3,10,80,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.00493353,-0.005456781,0.021250295,-0.002301279,-0.001771356,0.025842438,-0.00493353,-0.009094634,0.070834316,-0.002301279,-0.017713562,0.258424384,0.057822594,0.040833333,0.545770143,0.069560853,0.634225442,0.054977308,0.042883295,0.175372774,0.062332889,0.233279186,-0.049207174,0.05020317,-0.678669168,-0.103908498,-0.632182548,0.931451613,0.951612903,0.911290323,0.927419355,0.921370968,1,NA,NA,1,NA,0.679435484,NA,0.447580645,NA,0.1875,NA,NA,NA,1,0.0992
23,Cond23,0.9,1,0.6,0,10,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.010146661,-0.018458973,0.007565337,0.003530631,0.003126006,-0.008749109,-0.016911102,-0.030764955,0.007565337,0.003530631,0.031260061,-0.087491093,0.054906795,0.052929759,0.132278198,0.072834173,0.150226563,0.05423056,0.053295005,0.126062696,0.063202078,0.12800087,-0.01231606,0.006900592,-0.046988106,-0.132246916,-0.147947826,0.936772047,0.950083195,0.935108153,0.935108153,0.951747088,1,0.988352745,NA,0.995008319,NA,NA,NA,0.460898502,NA,0.183028286,NA,NA,NA,1,0.1202
24,Cond24,0.9,1,0.6,0.3,10,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.006494968,-0.012064466,0.008521815,0.00393402,-0.004740232,-4.64E-05,-0.010824947,-0.020107443,0.028406051,0.021855668,-0.04740232,-0.000463721,0.054802078,0.049353319,0.124187589,0.067638852,0.131756988,0.054092446,0.049093641,0.111209607,0.061254552,0.115820837,-0.012948983,-0.005261625,-0.104503048,-0.094388066,-0.120951091,0.938566553,0.950511945,0.924914676,0.933447099,0.948805461,0.996587031,0.991467577,NA,0.998293515,NA,0.807167235,NA,0.457337884,NA,0.216723549,NA,0.781569966,NA,1,0.1172
25,Cond25,0.45,1,0,0,10,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.006683635,-0.003902917,0.029961575,-0.000899514,-0.00074739,0.015988555,-0.006683635,-0.006504861,0.029961575,-0.000899514,-0.007473903,0.159885552,0.05362771,0.033016671,0.420711135,0.065830557,0.610690407,0.048002404,0.035662114,0.141345634,0.054403623,0.202345273,-0.104895508,0.080124452,-0.664031632,-0.173581008,-0.668661451,0.910423453,0.95276873,0.925081433,0.903908795,0.941368078,1,NA,NA,1,NA,NA,NA,0.524429967,NA,0.206840391,NA,NA,NA,1,0.1228
26,Cond26,0.45,1,0,0.3,10,120,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.001267568,-0.005795969,0.005277381,-0.002338881,-0.000355456,0.000300936,-0.001267568,-0.009659949,0.017591269,-0.002338881,-0.003554556,0.003009356,0.050441792,0.034744644,0.219473089,0.057637021,0.246569563,0.04850896,0.035907833,0.128333634,0.053956314,0.169346642,-0.038318059,0.033478238,-0.415264833,-0.063860124,-0.313189189,0.939443535,0.942716858,0.921440262,0.934533552,0.918166939,1,NA,NA,1,NA,0.772504092,NA,0.543371522,NA,0.232405892,NA,NA,NA,1,0.1222
27,Cond27,0.45,1,0.6,0,10,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.007732966,-0.016393481,0.016332304,0.009058811,0.00171535,-0.005233338,-0.012888277,-0.027322468,0.016332304,0.009058811,0.017153499,-0.052333378,0.047144933,0.045544089,0.119558387,0.055928645,0.115203951,0.045438745,0.043610284,0.102863495,0.052016149,0.103449484,-0.036190262,-0.042460068,-0.139637981,-0.069955146,-0.102031808,0.961180124,0.942546584,0.927018634,0.951863354,0.956521739,1,0.99378882,NA,0.995341615,NA,NA,NA,0.555900621,NA,0.23757764,NA,NA,NA,1,0.1288
28,Cond28,0.45,1,0.6,0.3,10,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-9.71E-05,-0.000943096,-0.003871937,-0.002587461,-0.002680881,5.17898408019576e-05,-0.000161791,-0.001571826,-0.012906455,-0.014374781,-0.026808815,0.000517898,0.045674223,0.042185941,0.101818164,0.053439132,0.103284911,0.044333624,0.041478972,0.095142693,0.049467184,0.095160027,-0.029351338,-0.016758402,-0.065562674,-0.074326578,-0.07866477,0.931937173,0.942408377,0.935863874,0.933246073,0.945026178,0.996073298,0.996073298,NA,0.998691099,NA,0.836387435,NA,0.573298429,NA,0.281413613,NA,0.82591623,NA,1,0.1528
29,Cond29,0.9,1,0,0,10,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.001669147,-0.011411205,-0.004859771,-0.001367592,0.005715469,-0.00603502,-0.001669147,-0.019018674,-0.004859771,-0.001367592,0.057154687,-0.060350196,0.051277094,0.036023281,0.170474278,0.06228007,0.321195395,0.048954537,0.035263458,0.123699394,0.055743803,0.178434139,-0.045294234,-0.021092546,-0.274380889,-0.104949572,-0.444468565,0.938704028,0.931698774,0.954465849,0.931698774,0.943957968,1,NA,NA,1,NA,NA,NA,0.558669002,NA,0.182136602,NA,NA,NA,1,0.1142
30,Cond30,0.9,1,0,0.3,10,120,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.000486614,-0.002833219,0.002264756,-0.000668789,0.002210316,0.018036915,-0.000486614,-0.004722031,0.007549188,-0.000668789,0.022103162,0.180369147,0.0467226,0.036251685,0.21847356,0.057598719,0.302738723,0.048281264,0.035207893,0.125042801,0.053713935,0.172072022,0.033359951,-0.028792914,-0.427652476,-0.067445668,-0.43161542,0.942470389,0.939086294,0.923857868,0.939086294,0.913705584,1,NA,NA,1,NA,0.769881557,NA,0.560067682,NA,0.211505922,NA,NA,NA,1,0.1182
31,Cond31,0.9,1,0.6,0,10,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.007501018,-0.014810315,0.015622924,0.008270342,-0.000502237,0.000712714,-0.012501697,-0.024683859,0.015622924,0.008270342,-0.005022375,0.007127141,0.047885638,0.042706282,0.11815304,0.054550939,0.107992459,0.045570055,0.044203051,0.105087121,0.050909894,0.101383606,-0.048356535,0.035047984,-0.110584705,-0.066745771,-0.061197355,0.931309904,0.947284345,0.931309904,0.950479233,0.950479233,1,1,NA,0.995207668,NA,NA,NA,0.57827476,NA,0.261980831,NA,NA,NA,1,0.1252
32,Cond32,0.9,1,0.6,0.3,10,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.00638117,0.002407954,0.000326263,-0.002830179,0.001006911,0.005421464,-0.010635283,0.004013256,0.001087542,-0.015723214,0.01006911,0.054214641,0.044004829,0.03936732,0.104423269,0.054202404,0.113798413,0.044737087,0.040340208,0.092315322,0.049981692,0.097348189,0.01664042,0.024713082,-0.115950657,-0.077869461,-0.144555826,0.959944751,0.94198895,0.908839779,0.947513812,0.935082873,0.997237569,0.998618785,NA,1,NA,0.86878453,NA,0.592541436,NA,0.302486188,NA,0.857734807,NA,1,0.1448
33,Cond33,0.45,1,0,0,30,80,1,0.4,CSMMA,0,0.3,0,0.1,-0.003926818,-0.005270064,0.000500293,-0.000167882,-0.001883237,-0.001414407,-0.003926818,-0.00878344,0.000500293,-0.000167882,-0.018832371,-0.014144069,0.029752968,0.020749753,0.053989037,0.032024966,0.062436016,0.030373819,0.022032915,0.055852245,0.031725925,0.062852871,0.020866869,0.061839902,0.034510849,-0.009337737,0.006676512,0.950120192,0.957932692,0.949519231,0.947115385,0.953125,1,NA,NA,1,NA,NA,NA,0.852764423,NA,0.415264423,NA,NA,NA,1,0.3328
34,Cond34,0.45,1,0,0.3,30,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.000655667,-0.006372096,-0.001743271,-1.21E-06,-0.000402234,0.000169075,0.000655667,-0.01062016,-0.005810903,-1.21E-06,-0.004022344,0.001690752,0.03020149,0.021571502,0.051323545,0.029066245,0.056869755,0.029505106,0.02196208,0.051543629,0.029710062,0.056494968,-0.023057956,0.018106212,0.004288157,0.022149985,-0.006590269,0.946530148,0.948236633,0.934015927,0.950511945,0.95221843,1,NA,NA,1,NA,0.995449374,NA,0.911831627,NA,0.505688282,NA,NA,NA,1,0.3516
35,Cond35,0.45,1,0.6,0,30,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.006008351,-0.010194974,0.00292627,0.001591321,-0.001219374,0.000653205,-0.010013918,-0.016991624,0.00292627,0.001591321,-0.012193742,0.006532052,0.027721162,0.027184421,0.056017317,0.028200346,0.047551399,0.027693285,0.027650935,0.058348153,0.028760525,0.049212117,-0.001005637,0.017161076,0.041609199,0.019864278,0.0349247,0.949717159,0.948460088,0.95097423,0.960402263,0.957259585,1,1,NA,1,NA,NA,NA,0.915776241,NA,0.585166562,NA,NA,NA,1,0.3182
36,Cond36,0.45,1,0.6,0.3,30,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.006904218,-0.005655369,0.001560869,-0.001378263,-3.68E-05,0.000552639,-0.01150703,-0.009425615,0.005202896,-0.007657016,-0.000367999,0.005526391,0.026728139,0.025880134,0.051931465,0.028851252,0.043530567,0.027313119,0.025275499,0.050667366,0.028492893,0.044200619,0.021886306,-0.023362892,-0.024341665,-0.01242091,0.015392674,0.951492537,0.937100213,0.925373134,0.951492537,0.952558635,0.999466951,1,NA,1,NA,0.996801706,NA,0.92750533,NA,0.651385928,NA,0.996801706,NA,1,0.3752
37,Cond37,0.9,1,0,0,30,80,1,0.4,CSMMA,0,0.3,0,0.1,-0.001763991,-0.00609369,0.001313736,-0.000354764,-0.00208239,8.62115759480633e-05,-0.001763991,-0.01015615,0.001313736,-0.000354764,-0.020823897,0.000862116,0.029623668,0.021700934,0.055282331,0.032096973,0.065216274,0.030227334,0.021997794,0.055410566,0.031712698,0.062026149,0.020377825,0.013679606,0.002319642,-0.011972319,-0.048916088,0.956109134,0.947212337,0.947212337,0.946026097,0.945432977,1,NA,NA,1,NA,NA,NA,0.851126928,NA,0.43831554,NA,NA,NA,1,0.3372
38,Cond38,0.9,1,0,0.3,30,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.002636416,-0.003518881,-0.002591805,0.000520404,-0.000687768,0.000112915,0.002636416,-0.005864802,-0.008639349,0.000520404,-0.006877682,0.001129148,0.029834982,0.022012561,0.05154143,0.03025028,0.05737306,0.029680152,0.021929758,0.05101324,0.030222182,0.057345509,-0.005189535,-0.003761624,-0.010247863,-0.000928854,-0.000480212,0.940628638,0.948195576,0.945867288,0.954016298,0.955762515,1,NA,NA,1,NA,0.998253783,NA,0.889988359,NA,0.496507567,NA,NA,NA,1,0.3436
39,Cond39,0.9,1,0.6,0,30,80,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.004600358,-0.006479667,8.10093322420499e-05,-0.000218659,-0.001186937,0.000870284,-0.007667263,-0.010799444,8.10093322420499e-05,-0.000218659,-0.011869373,0.008702845,0.026769576,0.026491061,0.055971737,0.027747058,0.047009612,0.027764841,0.027628709,0.058400947,0.02872908,0.049342971,0.037178965,0.04294458,0.043400649,0.03539195,0.049635775,0.944871795,0.954487179,0.957051282,0.957051282,0.958333333,1,1,NA,1,NA,NA,NA,0.916025641,NA,0.571794872,NA,NA,NA,1,0.312
40,Cond40,0.9,1,0.6,0.3,30,80,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.00612778,-0.004626424,0.000293084,-0.001915138,-0.000829382,-0.001249236,-0.010212966,-0.007710706,0.000976948,-0.010639653,-0.008293821,-0.012492363,0.026166222,0.025659203,0.051172893,0.028712506,0.044072086,0.027380454,0.025284583,0.051127938,0.028144311,0.044085157,0.046404557,-0.014599852,-0.000878489,-0.019789098,0.00029657,0.957692308,0.945054945,0.942857143,0.952747253,0.944505495,1,1,NA,1,NA,0.999450549,NA,0.917582418,NA,0.643956044,NA,0.999450549,NA,1,0.364
41,Cond41,0.45,1,0,0,30,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.000518548,-0.002685098,0.000927453,-0.000253915,-0.00053082,-0.001079225,-0.000518548,-0.004475163,0.000927453,-0.000253915,-0.005308204,-0.010792246,0.024979552,0.018446277,0.047521711,0.026676548,0.053374553,0.025246029,0.018518704,0.046329273,0.026279721,0.05161934,0.010667824,0.003926389,-0.025092489,-0.0148755,-0.032884839,0.94952381,0.952857143,0.933333333,0.948571429,0.950952381,1,NA,NA,1,NA,NA,NA,0.945238095,NA,0.547619048,NA,NA,NA,1,0.42
