,Cond.,Rho,HetInd,a.p.cs,b.s,K,Nbar,postVar,missingRate,Method,a.para,cp.para,b.para,beta1.para,a.bias,cp.bias,b.bias,ab.bias,beta1.bias,a.Ebias,cp.Ebias,b.Ebias,ab.Ebias,beta1.Ebias,a.empSE,cp.empSE,b.empSE,beta1.empSE,a.meanSE,cp.meanSE,b.meanSE,beta1.meanSE,a.seRbias,cp.seRbias,b.seRbias,beta1.seRbias,a.CoverageRate,cp.CoverageRate,b.CoverageRate,beta1.CoverageRate,ab.CoverageRate,a.power,a.typeIerror,cp.power,cp.typeIerror,b.power,b.typeIerror,beta1.power,beta1.typeIerror,ab.power,ab.typeIerror,ConvergenceRate,posDefRate
25,Cond121,0.45,0,0,0,10,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.000470904,-0.005231014,0.003524484,-0.000675509,-0.000833553,-0.000470904,-0.008718357,0.003524484,-0.000675509,-0.008335528,0.043874926,0.033075053,0.07276316,0.035080739,0.032460612,0.078198259,0.034582511,0.008498325,0.026966466,-0.018577183,0.074695759,-0.014202329,0.948789572,0.941340782,0.938547486,0.950651769,1,NA,NA,0.999068901,NA,NA,NA,0.811918063,NA,NA,NA,1,0.2148
26,Cond122,0.45,0,0,0.3,10,120,1,0.4,CSMMA,0,0.3,0.3,0.1,-0.006900813,-0.000737679,0.00067732,-0.002566482,-0.000919244,-0.006900813,-0.001229465,0.002257733,-0.002566482,-0.009192443,0.042135643,0.032308752,0.068706498,0.035489869,0.03298696,0.071761378,0.034324464,0.027353982,0.045961743,0.020991457,0.044462752,-0.032837699,0.945945946,0.953667954,0.941119691,0.94015444,1,NA,NA,1,NA,0.959459459,NA,0.82046332,NA,NA,NA,1,0.2072
27,Cond123,0.45,0,0.6,0,10,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.003889571,-0.007361201,0.00378871,0.001914585,0.000865043,-0.006482619,-0.012268668,0.00378871,0.001914585,0.008650426,0.038883323,0.042148989,0.080277606,0.034884984,0.04206327,0.08330861,0.03484047,0.05037176,0.05991285,-0.002033715,0.037756526,-0.001276019,0.949858089,0.936613056,0.931882687,0.95269631,1,1,NA,1,NA,NA,NA,0.804162725,NA,NA,NA,1,0.2114
28,Cond124,0.45,0,0.6,0.3,10,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.001092612,-0.005514228,-0.005408525,-0.00392875,-0.000677947,-0.001821021,-0.00919038,-0.018028417,-0.021826387,-0.006779474,0.038382548,0.038805486,0.073913102,0.034101794,0.039468265,0.073365252,0.03274827,0.049556386,0.05168502,0.017079532,-0.007412088,-0.039690701,0.952727273,0.941818182,0.921818182,0.943636364,0.999090909,1,NA,1,NA,0.942727273,NA,0.835454545,NA,0.938181818,NA,1,0.22
29,Cond125,0.9,0,0,0,10,120,1,0.4,CSMMA,0,0.3,0,0.1,-0.003390555,-0.00522717,0.001445162,-0.000650325,0.000469381,-0.003390555,-0.00871195,0.001445162,-0.000650325,0.00469381,0.042500346,0.031762165,0.072745643,0.035328582,0.032876461,0.077473564,0.035282706,0.008346771,0.063640417,0.035082467,0.064992501,-0.001298557,0.947511312,0.947511312,0.933031674,0.952036199,1,NA,NA,1,NA,NA,NA,0.804524887,NA,NA,NA,1,0.221
30,Cond126,0.9,0,0,0.3,10,120,1,0.4,CSMMA,0,0.3,0.3,0.1,0.005511138,-0.008192105,-0.000982529,0.001047022,-0.000102304,0.005511138,-0.013653508,-0.003275097,0.001047022,-0.001023044,0.042092653,0.032211077,0.068326139,0.034662654,0.032884975,0.071116384,0.035289962,0.026774721,0.032237025,0.020921304,0.040837156,0.018097492,0.940693431,0.938868613,0.937956204,0.948905109,1,NA,NA,1,NA,0.959854015,NA,0.794708029,NA,NA,NA,1,0.2192
31,Cond127,0.9,0,0.6,0,10,120,1,0.4,CSMMA,0.3,0.3,0,0.1,-0.004625978,-0.009627316,0.007387129,0.003913196,-0.001053998,-0.007709964,-0.016045526,0.007387129,0.003913196,-0.010539978,0.038743287,0.041474411,0.080304527,0.036706261,0.042160852,0.083348866,0.035528159,0.050314788,0.04914124,0.016550939,0.037909925,-0.032095381,0.954319762,0.947368421,0.930486594,0.94041708,1,1,NA,1,NA,NA,NA,0.772591857,NA,NA,NA,1,0.2014
32,Cond128,0.9,0,0.6,0.3,10,120,1,0.4,CSMMA,0.3,0.3,0.3,0.1,-0.00518654,-0.007104283,0.002006627,-0.000791494,-0.000163513,-0.008644233,-0.011840471,0.006688758,-0.00439719,-0.001635131,0.038179423,0.038372765,0.071228884,0.033574074,0.039200024,0.072469082,0.033129952,0.049168493,0.069961253,0.021558481,0.017411452,-0.013228121,0.947906977,0.950697674,0.925581395,0.95255814,0.999069767,1,NA,1,NA,0.949767442,NA,0.835348837,NA,0.946976744,NA,1,0.215
33,Cond129,0.45,0,0,0,30,80,1,0.4,CSMMA,0,0.3,0,0.1,-0.000324692,-0.006395544,-0.000597067,-0.000142395,-0.001202751,-0.000324692,-0.01065924,-0.000597067,-0.000142395,-0.012027506,0.028668469,0.021382793,0.050303079,0.022001413,0.021003293,0.053153507,0.021516819,0.003807243,0.040684274,-0.017747898,0.056665079,-0.022025587,0.949398798,0.936873747,0.946893788,0.946893788,1,NA,NA,1,NA,NA,NA,0.988977956,NA,NA,NA,1,0.3992
34,Cond130,0.45,0,0,0.3,30,80,1,0.4,CSMMA,0,0.3,0.3,0.1,0.002280891,-0.005639959,-0.00243781,0.000442102,-0.001175188,0.002280891,-0.009399931,-0.008126034,0.000442102,-0.011751876,0.028433791,0.021543078,0.045470196,0.020154016,0.021103107,0.048664988,0.021060165,0.017608823,0.027129205,-0.020422853,0.070261236,0.044961226,0.950757576,0.938920455,0.944128788,0.956439394,1,NA,NA,1,NA,1,NA,0.993371212,NA,NA,NA,1,0.4224
